value,block
exp_gdp_yoy,False
leu_hicp,False
unemp_rate,False
gov_rev_yoy,False
ind_yoy,False
lunemp,False
loil,False
dum_lfs,False
cons_share,False
dum_2022,False
exp_gdp_share,False
inv_yoy,False
ca_gdp,False
imp_nom_yoy,False
gov_cons_yoy,False
imp_gdp_yoy,False
unemp,False
eu_gdp_yoy,False
gov_bal,False
lcpi,False
eu_hicp,False
inv_share,False
emp,False
eu_ir,False
gov_exp_yoy,False
eu_hicp_yoy,False
ir,False
pub_debt,False
lemp,False
wages_yoy,False
gov_cons_share,False
loans_hh,False
cpi,False
imp_gdp_share,False
cons_yoy,False
cpi_yoy,False
exp_nom_yoy,False
emp_yoy,False
oil,False
gdp_yoy,False
