value,out_periodflag
emp,avg
ind_yoy,avg
ca_gdp,avg
unemp,avg
loans_hh,avg
dum_lfs,avg
cpi_yoy,avg
imp_gdp_yoy,avg
emp_yoy,avg
cons_share,avg
imp_gdp_share,avg
inv_share,avg
leu_hicp,avg
eu_gdp_yoy,avg
gov_cons_share,avg
eu_hicp,avg
wages_yoy,avg
eu_hicp_yoy,avg
imp_nom_yoy,avg
dum_2022,avg
gov_exp_yoy,avg
exp_gdp_yoy,avg
oil,avg
exp_nom_yoy,avg
cons_yoy,avg
loil,avg
pub_debt,avg
gov_rev_yoy,avg
gdp_yoy,avg
lunemp,avg
unemp_rate,avg
lcpi,avg
cpi,avg
ir,avg
gov_bal,avg
inv_yoy,avg
exp_gdp_share,avg
eu_ir,avg
lemp,avg
gov_cons_yoy,avg
